Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K2,Q6K3,Q6K4,Benefit1,Benefit2,Benefit3,Tin2,size1,size2,AMED,Quant1,Quant2,Age2,Age3,Edu1,Edu2
9,1,3,0,0,0,0,0,1,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9,2,1,1,10,-1,1,890,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9,2,2,0,5,1,-1,90,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9,2,3,0,0,0,0,0,1,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9,3,1,0,5,1,-1,90,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9,3,2,0,10,-1,1,270,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9,3,3,1,0,0,0,0,1,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9,4,1,0,5,-1,-1,530,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9,4,2,0,10,1,1,890,0,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
9,4,3,1,0,0,0,0,1,4,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
10,1,1,1,5,1,-1,270,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,1,2,0,10,-1,1,530,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,1,3,0,0,0,0,0,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,2,1,0,10,-1,-1,90,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,2,2,1,5,1,1,270,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,2,3,0,0,0,0,0,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,3,1,1,5,1,1,890,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,3,2,0,10,-1,-1,90,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,3,3,0,0,0,0,0,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,4,1,0,10,-1,1,530,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,4,2,1,5,1,-1,890,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
10,4,3,0,0,0,0,0,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0
11,1,1,1,5,1,-1,270,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,1,2,0,10,-1,1,530,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,1,3,0,0,0,0,0,1,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,2,1,0,10,-1,-1,90,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,2,2,0,5,1,1,270,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,2,3,1,0,0,0,0,1,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,3,1,0,5,1,1,890,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,3,2,0,10,-1,-1,90,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,3,3,1,0,0,0,0,1,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,4,1,0,10,-1,1,530,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,4,2,1,5,1,-1,890,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
11,4,3,0,0,0,0,0,1,3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
12,1,1,1,10,1,1,270,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,1,2,0,5,-1,-1,530,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,1,3,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,2,1,0,10,-1,1,890,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,2,2,1,5,1,-1,90,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,2,3,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,3,1,1,5,1,-1,90,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,3,2,0,10,-1,1,270,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,3,3,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,4,1,0,5,-1,-1,530,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,4,2,1,10,1,1,890,0,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
12,4,3,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
13,1,1,0,5,-1,1,90,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,1,2,1,10,1,-1,530,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,1,3,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,2,1,1,10,1,-1,530,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,2,2,0,5,-1,1,890,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,2,3,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,3,1,0,5,-1,1,270,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,3,2,1,10,1,-1,530,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,3,3,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,4,1,1,10,1,-1,270,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,4,2,0,5,-1,1,90,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
13,4,3,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1
14,1,1,0,5,-1,1,90,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,1,2,0,10,1,-1,530,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,1,3,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,2,1,0,10,1,-1,530,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,2,2,1,5,-1,1,890,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,2,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,3,1,1,5,-1,1,270,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,3,2,0,10,1,-1,530,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,3,3,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,4,1,0,10,1,-1,270,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,4,2,0,5,-1,1,90,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
14,4,3,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
15,1,1,0,5,-1,1,90,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,1,2,1,10,1,-1,530,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,2,1,1,10,1,-1,530,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,2,2,0,5,-1,1,890,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,2,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,3,1,0,5,-1,1,270,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,3,2,1,10,1,-1,530,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,3,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,4,1,1,10,1,-1,270,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,4,2,0,5,-1,1,90,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
15,4,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
16,1,1,1,5,1,-1,270,0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
