Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K1,Q6K2,Q6K3,Q6K4,Q7FMRB,Q9Ct,Q9LY,Q9F,Q9AT,Q9R,Q9VB,Q9MH,Q9PP,Q10TF,Q10CH,Q10SG,Q10T,Q10AT,Q10CP
14,1,1,0,5,-1,1,90,0,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,1,2,0,10,1,-1,530,0,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,1,3,1,0,0,0,0,1,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,2,1,0,10,1,-1,530,0,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,2,2,1,5,-1,1,890,0,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,2,3,0,0,0,0,0,1,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,3,1,1,5,-1,1,270,0,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,3,2,0,10,1,-1,530,0,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,3,3,0,0,0,0,0,1,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,4,1,0,10,1,-1,270,0,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,4,2,0,5,-1,1,90,0,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
14,4,3,1,0,0,0,0,1,1,1,0,1,0,1,1,2,3,4,6,7,8,5,3,2,6,1,5,4
15,1,1,0,5,-1,1,90,0,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,1,2,1,10,1,-1,530,0,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,1,3,0,0,0,0,0,1,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,2,1,1,10,1,-1,530,0,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,2,2,0,5,-1,1,890,0,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,2,3,0,0,0,0,0,1,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,3,1,0,5,-1,1,270,0,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,3,2,1,10,1,-1,530,0,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,3,3,0,0,0,0,0,1,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,4,1,1,10,1,-1,270,0,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,4,2,0,5,-1,1,90,0,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
15,4,3,0,0,0,0,0,1,1,1,0,0,0,1,8,2,7,3,5,6,1,4,1,2,6,3,4,5
16,1,1,1,5,1,-1,270,0,3,1,0,0,0,1,7,1,6,2,3,8,4,5,6,1,2,3,5,4
